"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"d:\TestFlow\client\src\App.jsx", "JavaScript JSX", 0, 15, 0, 0, 3, 18
"d:\TestFlow\client\src\App.module.css", "PostCSS", 0, 0, 13, 0, 1, 14
"d:\TestFlow\client\src\components\AppRouter.jsx", "JavaScript JSX", 0, 18, 0, 0, 6, 24
"d:\TestFlow\client\src\components\MainLayout.jsx", "JavaScript JSX", 0, 14, 0, 0, 2, 16
"d:\TestFlow\client\src\components\UI\Input\Input.jsx", "JavaScript JSX", 0, 11, 0, 0, 2, 13
"d:\TestFlow\client\src\components\UI\button\Button.jsx", "JavaScript JSX", 0, 18, 0, 0, 2, 20
"d:\TestFlow\client\src\components\UI\button\button.module.css", "PostCSS", 0, 0, 21, 0, 2, 23
"d:\TestFlow\client\src\components\UI\cardHeader\Header.jsx", "JavaScript JSX", 0, 11, 0, 0, 2, 13
"d:\TestFlow\client\src\components\UI\cardHeader\header.module.css", "PostCSS", 0, 0, 18, 0, 2, 20
"d:\TestFlow\client\src\components\UI\h2\H2.jsx", "JavaScript JSX", 0, 7, 0, 0, 2, 9
"d:\TestFlow\client\src\components\UI\h2\h2.module.css", "PostCSS", 0, 0, 3, 0, 0, 3
"d:\TestFlow\client\src\components\UI\header\Header.jsx", "JavaScript JSX", 0, 34, 0, 0, 2, 36
"d:\TestFlow\client\src\components\UI\header\header.module.css", "PostCSS", 0, 0, 26, 0, 6, 32
"d:\TestFlow\client\src\components\UI\modal\AppModal.jsx", "JavaScript JSX", 0, 54, 0, 0, 4, 58
"d:\TestFlow\client\src\components\UI\navbar\Sidebar.jsx", "JavaScript JSX", 0, 42, 0, 0, 6, 48
"d:\TestFlow\client\src\components\UI\navbar\sidebar.module.css", "PostCSS", 0, 0, 48, 0, 8, 56
"d:\TestFlow\client\src\components\UI\pagination\MyPagination.jsx", "JavaScript JSX", 0, 15, 0, 0, 2, 17
"d:\TestFlow\client\src\components\UI\pagination\pagination.module.css", "PostCSS", 0, 0, 7, 0, 1, 8
"d:\TestFlow\client\src\components\UI\search\Search.jsx", "JavaScript JSX", 0, 11, 0, 0, 2, 13
"d:\TestFlow\client\src\components\UI\search\search.module.css", "PostCSS", 0, 0, 26, 0, 3, 29
"d:\TestFlow\client\src\components\UI\toolBar\ToolBar.jsx", "JavaScript JSX", 0, 8, 0, 0, 2, 10
"d:\TestFlow\client\src\components\UI\toolBar\toolbar.module.css", "PostCSS", 0, 0, 8, 0, 0, 8
"d:\TestFlow\client\src\components\cards\activityCard\ActivityCard.jsx", "JavaScript JSX", 0, 61, 0, 0, 7, 68
"d:\TestFlow\client\src\components\cards\activityCard\activityCard.module.css", "PostCSS", 0, 0, 49, 0, 9, 58
"d:\TestFlow\client\src\components\cards\badTest\BadTestCard.jsx", "JavaScript JSX", 0, 20, 0, 0, 3, 23
"d:\TestFlow\client\src\components\cards\badTest\badTest.module.css", "PostCSS", 0, 0, 10, 0, 1, 11
"d:\TestFlow\client\src\components\cards\goodTest\GoodTest.jsx", "JavaScript JSX", 0, 18, 0, 0, 2, 20
"d:\TestFlow\client\src\components\cards\goodTest\goodTest.module.css", "PostCSS", 0, 0, 10, 0, 1, 11
"d:\TestFlow\client\src\components\cards\lastComplitedTestsCard\LastComplitedTestsCard.jsx", "JavaScript JSX", 0, 26, 0, 0, 2, 28
"d:\TestFlow\client\src\components\cards\lastComplitedTestsCard\tests.module.css", "PostCSS", 0, 0, 23, 0, 4, 27
"d:\TestFlow\client\src\components\dataCard\DataCard.jsx", "JavaScript JSX", 0, 14, 0, 0, 2, 16
"d:\TestFlow\client\src\components\dataCard\dataCard.module.css", "PostCSS", 0, 0, 24, 0, 3, 27
"d:\TestFlow\client\src\components\modals\ModalsForGroups\createGroup\CreateGroupModal.jsx", "JavaScript JSX", 0, 114, 0, 0, 13, 127
"d:\TestFlow\client\src\components\modals\ModalsForGroups\createGroup\createGroupModal.module.css", "PostCSS", 0, 0, 8, 0, 3, 11
"d:\TestFlow\client\src\components\modals\ModalsForGroups\editGroup\EditGroup.jsx", "JavaScript JSX", 0, 43, 0, 0, 6, 49
